timestamp;buyer;seller;symbol;currency;price;quantity
33100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;12
33100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;24
33200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;13
33300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9977;10
33300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;24
33400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9971;5
33400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;11
34000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;12
34100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9975;14
34100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;26
34200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;10
34200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9977;26
34300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9976;12
34300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;1
222700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10000;6
236500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;6
261500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10000;5
261600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;10
275200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;6
284700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;9
294900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10000;6
296400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10001;11
298100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10003;13
299200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10007;15
299300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;6
304400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;10
305800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;2
306700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10012;10
307600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10014;11
307800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10016;15
309900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
310100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;9
311500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
313400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;5
320900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;4
323800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;13
323900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;10
324000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;11
324000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;26
324100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;13
324100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;30
324200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;13
324200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;27
324300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;15
324300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;24
324400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10024;15
324400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;20
324500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10026;13
324500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;21
324600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10025;15
324600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;7
358200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10000;6
364700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;6
402700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;8
405400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;11
406300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;13
406600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;10
409700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;11
410300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9990;15
410700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9986;11
410800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9983;15
412700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9982;14
416000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9975;7
416400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;14
416400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9975;5
416500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;11
416600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;14
416700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;11
416800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;15
416900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;12
416900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;26
417000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;15
417000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9980;30
417100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9977;14
417100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;21
417200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9976;15
417200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9979;27
417300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;12
417300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9977;27
417400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9974;14
417400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9976;2
428300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10000;5
433000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9978;5
